model_name,lang,S_full,S_part,S_head,S_morph,I_full,I_part,Orig,Full,Part,Head,Orig+M,Full+M,Part+M
bert-base-multilingual-cased,de_gsd,0.9122807017543859,0.47368421052631576,0.45614035087719296,0.5789473684210527,0.0725,0.03999999999999998,0.1425,0.0125,0.075,0.0775,0.06,0.0025,0.0325
bert-base-multilingual-cased,en_ewt,0.925,0.43750000000000017,0.7250000000000002,0.23750000000000027,0.054644808743169376,0.019125683060109394,0.2185792349726776,0.0163934426229508,0.1229508196721311,0.0601092896174863,0.1666666666666666,0.0191256830601092,0.0901639344262295
bert-base-multilingual-cased,es_ancora,0.95,0.4300000000000002,0.7500000000000001,0.4300000000000002,0.09774436090225569,0.0501253132832081,0.2506265664160401,0.012531328320802,0.1428571428571428,0.06265664160401,0.1428571428571428,0.0025062656641604,0.0852130325814536
bert-base-multilingual-cased,ru_syntagrus,0.9724770642201838,0.5688073394495413,0.7706422018348625,0.5688073394495413,0.15696202531645573,0.09873417721518983,0.2759493670886076,0.0075949367088607,0.1189873417721519,0.0632911392405063,0.1189873417721519,0.0075949367088607,0.060759493670886
bert-base-multilingual-cased,tr_imst,,-inf,-inf,-inf,0.0,-0.0125786163522012,0.0,0.0,0.0188679245283018,0.0062893081761006,0.0125786163522012,0.0125786163522012,0.0188679245283018
bert-base-multilingual-cased,zh_gsd,0.9491525423728813,0.4971751412429378,0.7005649717514124,-0.011299435028248598,-0.005000000000000025,0.0024999999999999745,0.4425,0.0225,0.2225,0.1325,0.4475,0.0225,0.23
xlm-roberta-base,de_gsd,0.9629629629629629,0.4222222222222222,0.5037037037037037,0.5555555555555556,0.18250000000000002,0.07000000000000005,0.3375,0.0125,0.195,0.1675,0.15,0.0075,0.0775
xlm-roberta-base,en_ewt,0.981981981981982,0.45045045045045057,0.7387387387387391,0.2792792792792794,0.0817438692098093,0.04087193460490471,0.3024523160762943,0.0054495912806539,0.1662125340599455,0.0790190735694822,0.217983651226158,0.0027247956403269,0.1226158038147139
xlm-roberta-base,es_ancora,0.9629629629629629,0.4814814814814816,0.7037037037037038,0.46666666666666684,0.1553884711779449,0.07769423558897251,0.3383458646616541,0.012531328320802,0.175438596491228,0.100250626566416,0.1804511278195488,0.0100250626566416,0.0952380952380952
xlm-roberta-base,ru_syntagrus,0.956896551724138,0.5000000000000001,0.7327586206896554,0.5689655172413794,0.1691919191919192,0.08838383838383837,0.2929292929292929,0.0126262626262626,0.1464646464646464,0.0782828282828282,0.1262626262626262,0.0151515151515151,0.0681818181818181
xlm-roberta-base,tr_imst,1.0,0.09999999999999978,0.8000000000000007,0.9000000000000004,0.0628930817610062,0.018867924528301813,0.0628930817610062,0.0,0.0566037735849056,0.0125786163522012,0.0062893081761006,0.0062893081761006,0.0188679245283018
xlm-roberta-base,zh_gsd,0.923076923076923,0.5384615384615385,0.6615384615384616,-0.023076923076923096,-0.0075000000000000275,-0.007500000000000034,0.325,0.025,0.15,0.11,0.3325,0.025,0.15
