model_name,lang,S_full,S_part,S_head,S_morph,I_full,I_part,Orig,Full,Part,Head,Orig+M,Full+M,Part+M
bert-base-multilingual-cased,de_gsd,0.9795552367288378,0.4181782469085194,0.43752135000341585,0.5591395094623216,0.08137969924812027,0.03585839598997491,0.1467368421052631,0.003,0.08537468671679196,0.08253634085213032,0.06469047619047616,0.00233333333333332,0.03918671679197992
bert-base-multilingual-cased,en_ewt,0.9535569735298138,0.4566483006936374,0.7061843776777259,0.32326336214083273,0.0729317364967688,0.026330380530237008,0.22405819047323844,0.010405940471010618,0.12174239853714278,0.06583179667029718,0.1516283865056683,0.010907873000209279,0.07564297509980966
bert-base-multilingual-cased,es_ancora,0.9638258518887388,0.4198477626805151,0.7120438215835528,0.4070996656470089,0.09359519199336139,0.04228464136930962,0.23565602970637292,0.008524656121910121,0.13671637287197924,0.06785860973503992,0.1397205388052069,0.00618435721410548,0.08306552334012285
bert-base-multilingual-cased,ru_syntagrus,0.9820809202431661,0.5334420887926389,0.7244075031617047,0.6288587949885074,0.16644929510485776,0.0959921465547686,0.2622692233573672,0.00469962313110356,0.12236378102359007,0.0722794301088974,0.09733891559428157,0.006218610472875701,0.05342561981527304
bert-base-multilingual-cased,tr_imst,0.7191817001955365,0.4496702114214615,0.4652397577824631,0.14254234314267847,0.004245515929471602,-0.0001510078256935195,0.015916091281576582,0.00446952969322498,0.00875909914998676,0.00851129282889232,0.0136473743366279,0.006446328677747901,0.00633937437934456
bert-base-multilingual-cased,zh_gsd,0.9578815679733111,0.48957464553794816,0.6547122602168473,-0.005421184320267126,-0.00033333333333343193,0.0046666666666665135,0.3996666666666666,0.016833333333333318,0.20400000000000001,0.13799999999999998,0.4018333333333334,0.01866666666666664,0.21083333333333334
xlm-roberta-base,de_gsd,0.9679006822503076,0.47019349066099986,0.5631361145285763,0.5943406777765351,0.17289473684210527,0.08374999999999999,0.29411184210526314,0.009440789473684201,0.15582236842105263,0.12848684210526315,0.11930921052631578,0.0075328947368420995,0.06476973684210524
xlm-roberta-base,en_ewt,0.9638358481990963,0.4449210128372654,0.7158167448773753,0.29663231714090627,0.0791400958194666,0.03327578814566595,0.2805100885600321,0.010144409424369949,0.15570525584683162,0.07971627006172563,0.19730173100906898,0.0060761476928734,0.10577268644153442
xlm-roberta-base,es_ancora,0.9768747620860297,0.49790635706128683,0.715264560334983,0.45812714122573295,0.14824561403508776,0.07214912280701763,0.32919799498746866,0.0076127819548872,0.16528822055137837,0.09373433583959895,0.17838345864661648,0.0050438596491228,0.08662280701754382
xlm-roberta-base,ru_syntagrus,0.9746692868098161,0.5457726226993865,0.7225124616564419,0.6042944785276074,0.1682283359914939,0.09641148325358849,0.2772993088782562,0.007024189261031325,0.12595693779904304,0.07694710260499729,0.10972886762360443,0.0076820839978734255,0.05479797979797975
xlm-roberta-base,tr_imst,0.9309180625892746,0.4366270736709032,0.7061420594727963,0.6881703674847433,0.04526968247063948,0.01737343587996975,0.06978577642453238,0.0048209366391184245,0.0393154170804369,0.020507104538204972,0.0217612730172538,0.002066115702479325,0.008664349553128075
xlm-roberta-base,zh_gsd,0.9382395007151215,0.5866597321544662,0.643609413600312,0.012482121960733342,0.003782894736842138,0.0012500000000000011,0.25299342105263156,0.015625,0.10457236842105264,0.09016447368421053,0.24983552631578945,0.01625,0.10266447368421053
