lang,condition,word_at_1,word_at_5,pred_punct_rate,pred_stop_rate,N
en_ewt,FullyScrambled,0.0,0.0625,0.2708333333333333,0.20833333333333334,45
en_ewt,FullyScrambled+Lemma,0.0,0.041666666666666664,0.16666666666666666,0.3333333333333333,45
en_ewt,HeadScrambled,0.041666666666666664,0.22916666666666666,0.25,0.125,45
en_ewt,Original,0.3333333333333333,0.5,0.0,0.14583333333333334,45
en_ewt,Original+Lemma,0.25,0.375,0.020833333333333332,0.16666666666666666,45
en_ewt,PartiallyScrambled,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.3125,45
en_ewt,PartiallyScrambled+Lemma,0.10416666666666667,0.125,0.0625,0.2916666666666667,45
de_gsd,FullyScrambled,0.0,0.022222222222222223,0.4888888888888889,0.2222222222222222,48
de_gsd,FullyScrambled+Lemma,0.0,0.06666666666666667,0.37777777777777777,0.2222222222222222,48
de_gsd,HeadScrambled,0.06666666666666667,0.15555555555555556,0.37777777777777777,0.1111111111111111,48
de_gsd,Original,0.17777777777777778,0.4222222222222222,0.022222222222222223,0.06666666666666667,48
de_gsd,Original+Lemma,0.044444444444444446,0.1111111111111111,0.1111111111111111,0.1111111111111111,48
de_gsd,PartiallyScrambled,0.044444444444444446,0.24444444444444444,0.1111111111111111,0.1111111111111111,48
de_gsd,PartiallyScrambled+Lemma,0.06666666666666667,0.06666666666666667,0.1111111111111111,0.15555555555555556,48
es_ancora,FullyScrambled,0.02040816326530612,0.061224489795918366,0.24489795918367346,0.24489795918367346,49
es_ancora,FullyScrambled+Lemma,0.02040816326530612,0.061224489795918366,0.16326530612244897,0.24489795918367346,49
es_ancora,HeadScrambled,0.12244897959183673,0.24489795918367346,0.1836734693877551,0.1836734693877551,49
es_ancora,Original,0.4897959183673469,0.6530612244897959,0.0,0.04081632653061224,49
es_ancora,Original+Lemma,0.3469387755102041,0.40816326530612246,0.04081632653061224,0.02040816326530612,49
es_ancora,PartiallyScrambled,0.10204081632653061,0.22448979591836735,0.10204081632653061,0.16326530612244897,49
es_ancora,PartiallyScrambled+Lemma,0.04081632653061224,0.14285714285714285,0.16326530612244897,0.1836734693877551,49
